Title,Price,Brand,Size,Link,Likes,Dataid,MarketStatus,SearchDate,Images,SearchCount,Page
Botines,16.45,No brand,40,https://www.vinted.it/items/6537944261-botines?referrer=catalog,0,6537944261,,18/06/2025 21:01:49,,1,9
Sneakers di tendenza Borgogna e beige,19.6,Comfort,39,https://www.vinted.it/items/6537944043-sneakers-di-tendenza-borgogna-e-beige?referrer=catalog,22,6537944043,,18/06/2025 21:01:49,,1,9
Ballerines Mary Jane,15.4,sans marque,41,https://www.vinted.it/items/6537944241-ballerines-mary-jane?referrer=catalog,5,6537944241,,18/06/2025 21:01:49,,1,9
Basket,74.2,adidas,40,https://www.vinted.it/items/6537943928-basket?referrer=catalog,1,6537943928,,18/06/2025 21:01:49,,1,9
Schlappen Deichmann,4.9,Deichmann,41,https://www.vinted.it/items/6537943897-schlappen-deichmann?referrer=catalog,0,6537943897,,18/06/2025 21:01:49,,1,9
Sandalo da Donna Inblu,16.45,Inblu,37,https://www.vinted.it/items/6537943726-sandalo-da-donna-inblu?referrer=catalog,1,6537943726,,18/06/2025 21:01:49,,1,9
golden goose ballstar glitzer silber stockholm style scandi sneaker,63.7,Zara,37,https://www.vinted.it/items/6536998040-golden-goose-ballstar-glitzer-silber-stockholm-style-scandi-sneaker?referrer=catalog,1,6536998040,,18/06/2025 21:01:49,,1,9
Sandales à talons argentées,5.95,Primark,40,https://www.vinted.it/items/6537943507-sandales-a-talons-argentees?referrer=catalog,0,6537943507,,18/06/2025 21:01:49,,1,9
Estupendas cuñas de esparto (leer descripción),19.6,Nio Nio,41,https://www.vinted.it/items/6535111808-estupendas-cunas-de-esparto-leer-descripcion?referrer=catalog,16,6535111808,,18/06/2025 21:01:49,,1,9
Sandales chez Louis Vuitton,473.2,Louis Vuitton,36,https://www.vinted.it/items/6537938820-sandales-chez-louis-vuitton?referrer=catalog,2,6537938820,,18/06/2025 21:01:49,,1,9
Sandálias femininas,13.3,Shein,39,https://www.vinted.it/items/6537943321-sandalias-femininas?referrer=catalog,0,6537943321,,18/06/2025 21:01:49,,1,9
Sandale,3.85,Esmara,37,https://www.vinted.it/items/6537943357-sandale?referrer=catalog,0,6537943357,,18/06/2025 21:01:49,,1,9
Sneakers liu jo,53.2,Liu Jo,40,https://www.vinted.it/items/6537943411-sneakers-liu-jo?referrer=catalog,0,6537943411,,18/06/2025 21:01:49,,1,9
Scarpe Tata n39,8.05,Tata Italia,39,https://www.vinted.it/items/6537942714-scarpe-tata-n39?referrer=catalog,1,6537942714,,18/06/2025 21:01:49,,1,9
