ProductId,n,VariantsFound,VariantSilhouette
1255,7,2,0.8465574383735657
1256,19,3,0.8349123597145081
1259,4,1,
1265,5,1,
1268,6,1,
1269,4,1,
1277,6,2,0.9999997615814209
1279,4,1,
1280,4,1,
1283,105,14,0.5848296284675598
1284,5,1,
1288,4,1,
1293,5,1,
1297,14,5,0.8680092692375183
1305,5,1,
1308,5,1,
1310,6,2,0.9999999403953552
1312,5,1,
1314,4,1,
1316,9,1,
1320,4,1,
1321,4,1,
1325,4,1,
1326,5,1,
1331,46,8,0.8699182271957397
1332,21,5,0.8212478160858154
1340,5,1,
1344,25,5,0.7739939093589783
1346,4,1,
1347,25,3,0.8480573892593384
1348,4,1,
1349,4,1,
1350,6,2,0.9918065071105957
1351,123,12,0.6715289950370789
1352,4,1,
1353,4,1,
1357,8,1,
1359,6,2,1.0
1360,18,2,0.9365177154541016
1362,6,3,0.8333331942558289
1363,4,1,
1376,8,1,
1381,12,5,0.6824824810028076
1385,4,1,
1387,23,5,0.8309824466705322
1389,35,9,0.7464174628257751
1390,10,1,
1392,20,5,0.9122313261032104
1393,10,3,0.6941372752189636
1395,5,1,
1396,5,2,0.7999999523162842
1397,4,2,0.75
1398,149,25,0.6091388463973999
1410,4,1,
1412,7,3,0.8571427464485168
1418,168,12,0.632490873336792
1422,6,1,
1424,4,1,
1428,49,11,0.6790016889572144
1429,27,4,0.7554484605789185
1432,4,1,
1434,47,10,0.7741221785545349
1436,7,1,
1444,13,3,0.7892283201217651
1447,4,3,0.4999995529651642
1450,46,2,0.626060426235199
1451,5,1,
1452,5,1,
1453,5,1,
1455,4,2,0.75
1457,10,4,0.8858367800712585
1461,4,2,0.75
1464,10,1,
1466,12,3,0.6816652417182922
1467,4,1,
1470,34,2,0.7537533640861511
1472,24,3,0.8623454570770264
1473,7,3,0.68580561876297
1477,6,2,0.72450190782547
1479,4,2,0.6901629567146301
1480,5,1,
1482,5,1,
1485,5,1,
1487,5,1,
1490,5,1,
1491,4,1,
1492,13,5,0.8461538553237915
1497,7,1,
1501,4,1,
1502,5,2,0.7766872644424438
1503,5,2,0.7999998331069946
1507,5,1,
1508,4,1,
1509,4,1,
1511,5,1,
1517,12,2,0.8548681139945984
1518,5,1,
1520,8,2,0.8742051124572754
1522,65,4,0.90852290391922
1524,14,4,0.702097475528717
1526,8,4,0.7499996423721313
1528,15,2,0.9379721879959106
1529,30,5,0.8823912143707275
1533,4,1,
1534,111,8,0.7224444150924683
1536,5,1,
1546,6,1,
1550,5,1,
1551,10,2,0.8999999165534973
1559,4,1,
1570,4,2,0.75
1571,5,2,0.9967241287231445
1574,4,2,0.75
1575,24,5,0.685370922088623
1576,8,2,0.875
1580,4,1,
1582,6,2,0.8333333134651184
1585,8,2,0.8633896708488464
1587,5,1,
1589,5,1,
1593,6,1,
1595,5,1,
1597,4,1,
1600,5,1,
1603,9,2,1.0
1604,4,1,
1608,7,2,0.9999997019767761
1609,9,4,0.8888887166976929
1611,5,1,
1615,7,1,
1620,4,1,
1621,4,1,
1622,6,1,
1628,4,1,
1631,5,1,
1634,6,1,
1637,5,1,
1639,4,1,
1640,5,1,
1643,5,1,
1646,4,2,0.75
1647,8,2,0.9999998807907104
1648,27,7,0.8329201340675354
